Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
1449,D921 over Rooisloot river,Bridge,Bridge,9/7/2021,,Waterberg,,24.3,4.8,3,Simply supported,1/1/1956
1452,D1025 over Palala river,Bridge,Bridge,8/27/2021,,Waterberg,,52,4.7,4,Simply supported,1/1/1968
1458,D1890 over Steelpoort river,Bridge,Bridge,8/4/2021,,Sekhukhune,,32,5,4,Simply supported,1/1/1960
1465,P116/1 over sandspruit,Bridge,Bridge,1/31/2022,,Mopani,,57.2,10.9,4,Simply supported,1/1/2015
1511,D175 over Weidhoek spruit,Bridge,Bridge,7/27/2021,,Waterberg,,13.4,10.3,2,Simply supported,1/1/1982
1535,P135/1 over Nwanedzi river,Bridge,Bridge,8/12/2021,,Vhembe,,41,12.4,5,Simply supported,1/1/1977
1543,D171 over Tambotie river,Bridge,Bridge,8/30/2021,,Waterberg,,26,8.4,2,Simply supported,1/1/1958
1553,D1771 over river,Bridge,Bridge,8/2/2021,,Mopani,,40.5,8.5,8,Simply supported,1/1/1975
1573,P240/1 over Sand river,Bridge,Bridge,7/27/2021,,Waterberg,,207.2,8.4,2,Simply supported,1/1/1960
1574,P240/1 over Sand river,Bridge,Bridge,7/27/2021,,Waterberg,,32.8,8.4,4,Simply supported,1/1/1960
1576,D928 over river,Bridge,Bridge,7/30/2021,,Waterberg,,75,10,4,Simply supported,1/1/1972
1583,D11 over river,Bridge,Bridge,8/3/2021,,Mopani,,24.3,10.7,3,Simply supported,1/1/1958
1584,P1/3 over Rail,Bridge,Bridge,9/7/2021,,Waterberg,,53.8,14.3,4,Simply supported,1/1/1973
1593,D368 Over Doring Spruit,Bridge,Bridge,8/14/2021,,Vhembe,,32,9.2,2,Simply supported,1/1/1965
1596,P135/1 over Nwanedzi river,Bridge,Bridge,8/12/2021,,Vhembe,,28.4,12.6,3,Simply supported,1/1/1960
1609,D1827 over Selati river,Bridge,Bridge,8/4/2021,,Mopani,,80.3,4.8,5,Simply supported,1/1/1959
1610,D202 over Makhutswi river,Bridge,Bridge,8/4/2021,,Mopani,,64,8.5,4,Simply supported,1/1/1960
1612,D1942 over Nwanedzi river,Bridge,Bridge,8/11/2021,,Vhembe,,49.3,10.7,3,Simply supported,1/1/1980
1617,D19 over Sand river,Bridge,Bridge,7/21/2021,,Capricorn,,48.9,13.85,3,Simply supported,1/1/1961
1620,P116/1 over Riet spruit,Bridge,Bridge,1/27/2022,,Mopani,,32.4,8.7,2,Simply supported,1/1/1960
1621,D930 over Nyl river,Bridge,Bridge,9/10/2021,,Waterberg,,49.2,13,3,Simply supported,1/1/1959
1623,D192 over Mokamole river,Bridge,Bridge,9/8/2021,,Waterberg,,65.2,8.4,4,Simply supported,1/1/1960
1624,D2644 over river,Bridge,Bridge,8/30/2021,,Waterberg,,50,4.7,3,Simply supported,1/1/1960
1636,D2538 over river,Bridge,Bridge,8/18/2021,,Sekhukhune,,26.8,5,2,Simply supported,1/1/1970
1655,D1942 over river,Bridge,Bridge,8/11/2021,,Vhembe,,48.2,4.9,3,Simply supported,1/1/1975
1660,P51/3 over Bloed river,Bridge,Bridge,2/1/2022,,Sekhukhune,,65.6,12.8,8,Simply supported,1/1/1968
1664,D548 over river,Bridge,Bridge,9/5/2021,,Mopani,,13,8.4,2,Simply supported,1/1/1965
1676,D548 over Groot Letaba River,Bridge,Bridge,9/5/2021,,Mopani,,65.5,8.6,5,Simply supported,1/1/1962
1679,Jan Zeelie Bridge ( D854/river,Bridge,Bridge,8/10/2021,,Vhembe,,32.8,12.3,2,Simply supported,1/1/1961
1680,P18/2 over river,Bridge,Bridge,8/6/2021,,Capricorn,,15.6,12,1,Simply supported,1/1/1964
1681,P18/2 over river,Bridge,Bridge,8/6/2021,,Capricorn,,19.2,12,2,Simply supported,1/1/1964
1688,P171/1 over river,Bridge,Bridge,8/3/2021,,Sekhukhune,,49,8.5,6,Simply supported,1/1/1960
1690,D854 over Sand Sloot river,Bridge,Bridge,9/4/2021,,Vhembe,,32,12.4,2,Simply supported,1/1/1962
1693,D1942 over Sand river,Bridge,Bridge,8/11/2021,,Vhembe,,110,5,4,Continuous,1/1/1962
1708,D1519 over Doornfonteintjies,Bridge,Bridge,8/26/2021,,Capricorn,,48.6,4.85,3,Simply supported,1/1/1960
1757,D932 over Bokpoort spruit,Bridge,Bridge,7/26/2021,,Waterberg,,26,4.8,2,Simply supported,1/1/1966
1758,D579 over Dwars river,Bridge,Bridge,7/26/2021,,Waterberg,,15.6,4.5,2,Simply supported,1/1/1965
1759,P240/1 over Loubad spruit,Bridge,Bridge,7/27/2021,,Waterberg,,24.6,9.5,3,Simply supported,1/1/1960
176,D972 over Dwars river,Bridge,Bridge,7/27/2021,,Waterberg,,30,12.3,3,Simply supported,1/1/1975
1760,D171 over Tambotie river,Bridge,Bridge,8/30/2021,,Waterberg,,38.2,8.4,4,Simply supported,1/1/1960
1761,D1460 over Klip river,Bridge,Bridge,8/27/2021,,Waterberg,,41.5,10.6,5,Simply supported,1/1/1983
1770,D192 over river,Bridge,Bridge,9/8/2021,,Waterberg,,26,8.8,2,Simply supported,1/1/1963
1826,D453 over Sand river,Bridge,Bridge,7/27/2021,,Capricorn,,48.3,8.78,3,Simply supported,1/1/1965
1827,D777 over Sand river,Bridge,Bridge,8/13/2021,,Vhembe,,96.2,9,5,Simply supported,1/1/1965
1846,D198  over Trib Of Olifants,Bridge,Bridge,8/2/2021,,Sekhukhune,,24.4,12.7,3,Simply supported,1/1/1968
1883,P116/1 over river,Bridge,Bridge,2/2/2022,,Mopani,,7.2,12.2,1,Simply supported,1/1/1975
1897,D198  over Olifants river,Bridge,Bridge,8/3/2021,,Sekhukhune,,24.5,11.95,3,Simply supported,1/1/1968
1898,D1589 over Brak river,Bridge,Bridge,8/26/2021,,Capricorn,,33.2,8.6,5,Simply supported,1/1/1970
1903,D1509 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,,Mopani,,15.5,9.1,1,Simply supported,1/1/1968
1920,D1356 over river,Bridge,Bridge,8/4/2021,,Capricorn,,14.7,9.42,1,Simply supported,1/1/1964
1923,D879 over river,Bridge,Bridge,8/4/2021,,Capricorn,,9.9,8.6,1,Simply supported,1/1/1966
1924,D879 over river,Bridge,Bridge,8/4/2021,,Capricorn,,9.7,9.2,1,Simply supported,1/1/1966
1933,D978 over Thabanake river,Bridge,Bridge,9/6/2021,,Mopani,,48,11.9,3,Simply supported,1/1/1970
1936,D668 over river,Bridge,Bridge,8/5/2021,,Mopani,,16,9,1,Simply supported,1/1/1968
1937,P43/3 over river,Bridge,Bridge,1/31/2022,,Mopani,,25,9,3,Simply supported,1/1/1964
1962,D4000 over river,Bridge,Bridge,8/11/2021,,Capricorn,,19.4,9.55,1,Simply supported,1/1/1963
1976,D598 over Sterk river,Bridge,Bridge,7/22/2021,,Waterberg,,38.6,9,3,Simply supported,1/1/1970
1977,D1069 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,48,12,3,Simply supported,1/1/1972
1979,D710 over Waterhoek spruit,Bridge,Bridge,7/26/2021,,Waterberg,,33.4,12.1,2,Simply supported,1/1/1979
1980,D190 over Purekrans river,Bridge,Bridge,7/23/2021,,Waterberg,,15.2,12,1,Simply supported,1/1/1967
1981,D2661 over Palala river,Bridge,Bridge,7/23/2021,,Waterberg,,27.6,7.9,3,Simply supported,1/1/1966
1982,D190 over Bokpoort river,Bridge,Bridge,7/23/2021,,Waterberg,,26.4,10.6,2,Simply supported,1/1/1967
1988,Rail over P146/1,Bridge,Bridge,8/2/2021,,Mopani,,18.4,25,1,Simply supported,1/1/1990
2004,D548 over Groot Letaba river,Bridge,Bridge,9/5/2021,,Mopani,,34.8,8.4,3,Continuous,1/1/1965
2005,D673 over Murle Brook river,Bridge,Bridge,9/5/2021,,Mopani,,41.1,12.6,8,Simply supported,1/1/1968
2032,D589 over river,Bridge,Bridge,9/2/2021,,Mopani,,12.8,13.6,1,Simply supported,1/1/1965
2041,P146/1 over Unduthlo spruit,Bridge,Bridge,8/2/2021,,Mopani,,13.2,11.6,1,Simply supported,1/1/1960
2054,P169/1 over Klip river,Bridge,Bridge,2/7/2022,,Sekhukhune,,48,12,3,Simply supported,1/1/1971
2097,D1399  over Aarons river,Bridge,Bridge,8/2/2021,,Sekhukhune,,33.1,12,2,Simply supported,1/1/1964
2105,D2537 over Hlahlaneng river,Bridge,Bridge,8/17/2021,,Sekhukhune,,11.7,10.15,1,Frame,1/1/1964
2121,D192 over river,Bridge,Bridge,9/9/2021,,Waterberg,,32.6,8.6,4,Simply supported,1/1/1964
2122,D2537 over river,Bridge,Bridge,8/18/2021,,Sekhukhune,,19.3,9.6,1,Simply supported,1/1/1964
2123,D2537 over Steelpoort river,Bridge,Bridge,8/19/2021,,Sekhukhune,,96,9,6,Simply supported,1/1/1964
2139,D4421 over Rail,Bridge,Bridge,2/7/2022,,Other,,31.2,13.7,4,Simply supported,1/1/1960
2162,D192 over river,Bridge,Bridge,9/8/2021,,Waterberg,,33,8.7,4,Simply supported,1/1/1964
2171,P169/3 over rail,Bridge,Bridge,8/18/2021,,Sekhukhune,,12.85,12.4,1,Simply supported,1/1/1965
2176,P169/3 over Spekboom river,Bridge,Bridge,8/18/2021,,Sekhukhune,,80,9,5,Simply supported,1/1/1970
2180,P169/1 over river,Bridge,Bridge,2/7/2022,,Sekhukhune,,13,12,1,Simply supported,1/1/1964
2208,D567 over Elands river,Bridge,Bridge,9/8/2021,,Waterberg,,48.6,10,3,Simply supported,1/1/1967
2213,D1296  over river,Bridge,Bridge,8/19/2021,,Sekhukhune,,22.6,10.7,2,Simply supported,1/1/1965
2214,D873 over Mogalakwena river,Bridge,Bridge,8/26/2021,,Capricorn,,112.5,5.4,7,Simply supported,1/1/1965
2222,D1296  over Steelpoort river,Bridge,Bridge,8/4/2021,,Sekhukhune,,64,10.4,4,Simply supported,1/1/1965
2236,D856  over Moses river,Bridge,Bridge,8/2/2021,,Sekhukhune,,38.7,11.58,4,Simply supported,1/1/1965
2250,D1200 over Sand River,Bridge,Bridge,8/4/2021,,Capricorn,,79.9,8.9,5,Simply supported,1/1/1969
2279,D17 over Brak River,Bridge,Bridge,8/10/2021,,Vhembe,,13.2,9.2,2,Simply supported,1/1/1966
2286,D885 over Roodesloot ,Bridge,Bridge,8/19/2021,,Capricorn,,26.9,12.46,4,Simply supported,1/1/1966
2311,Rail over D2537,Bridge,Bridge,8/18/2021,,Sekhukhune,,17.1,5.8,1,Simply supported,1/1/1967
2322,D2535  over Moses river,Bridge,Bridge,8/3/2021,,Sekhukhune,,48.3,10.2,3,Simply supported,1/1/1967
2324,D17 over river,Bridge,Bridge,8/10/2021,,Vhembe,,20.2,9.1,2,Simply supported,1/1/1966
2327,D192 over Sterk river,Bridge,Bridge,9/10/2021,,Waterberg,,52.4,11.8,4,Simply supported,1/1/1973
2328,D673 over Rail,Bridge,Bridge,9/2/2021,,Mopani,,11.5,12.5,1,Simply supported,1/1/1968
2349,D523 over Hamawasha river,Bridge,Bridge,8/5/2021,,Mopani,,13.2,8.8,1,Simply supported,1/1/1961
