Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
4133,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,25.5,11.2,3,Simply supported,1/1/1977
4138,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,17.2,12.6,2,Simply supported,1/1/1978
4139,D932 over Mmadikiri spruit,Bridge,Bridge,7/22/2021,,Waterberg,,42.2,12.2,3,Simply supported,1/1/1983
4146,D4050 over Mohlapitse river,Bridge,Bridge,8/13/2021,,Capricorn,,90,10.75,6,Continuous,1/1/2007
4186,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,32.6,10.4,4,Simply supported,1/1/1979
4187,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,32.6,11.4,4,Simply supported,1/1/1978
4188,D175 over Rail,Bridge,Bridge,7/29/2021,,Waterberg,,31.5,12.5,3,Simply supported,1/1/1975
4196,D2701 over Rail,Bridge,Bridge,7/30/2021,,Waterberg,,22.5,12.7,1,Simply supported,1/1/1979
4207,D1483 over Kongo Loop,Bridge,Bridge,8/9/2021,,Vhembe,,25.5,10.4,3,Simply supported,1/1/1979
4208,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,27.3,10.6,3,Simply supported,1/1/2000
4248,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,26.2,10.4,3,Simply supported,1/1/1979
4249,D1483 over river,Bridge,Bridge,8/9/2021,,Vhembe,,49,10.4,6,Simply supported,1/1/1979
4264,D1552 over Strydomsloop,Bridge,Bridge,8/4/2021,,Capricorn,,40.8,10.7,5,Simply supported,1/1/1983
4265,D1836 over Poer se Loop,Bridge,Bridge,7/26/2021,,Waterberg,,49.2,10,3,Simply supported,1/1/1980
4266,D1597 over river,Bridge,Bridge,7/27/2021,,Mopani,,64.6,10.6,4,Simply supported,1/1/1982
4283,D972 over river,Bridge,Bridge,7/28/2021,,Waterberg,,8.5,13.5,1,Simply supported,1/1/1980
4284,D972 over river,Bridge,Bridge,8/26/2021,,Waterberg,,13.8,13.2,3,Simply supported,1/1/1980
4297,D2460 over Crocodile river,Bridge,Bridge,8/23/2021,,Waterberg,,74,10.6,4,Simply supported,1/1/1985
4298,D148  over river,Bridge,Bridge,8/2/2021,,Sekhukhune,,16.6,10.7,2,Simply supported,1/1/1980
43,D1801 over Ramadipa river,Bridge,Bridge,9/2/2021,,Mopani,,26,5.5,1,Truss,1/1/1960
4302,D198  over Kruis river,Bridge,Bridge,8/2/2021,,Sekhukhune,,46.8,11,3,Simply supported,1/1/1975
4318,D2460 over Elandslaagte spruit,Bridge,Bridge,7/30/2021,,Waterberg,,30.3,11.6,6,Simply supported,1/1/1980
435,D2239 over river,Bridge,Bridge,9/5/2021,,Mopani,,37.1,4,7,Continuous,1/1/1960
4360,D1174 over Nzhelele river,Bridge,Bridge,8/12/2021,,Vhembe,,48.3,10.7,3,Simply supported,1/1/1975
4361,D1034 over Brand Boontjies riv,Bridge,Bridge,8/3/2021,,Mopani,,16,10.65,1,Simply supported,1/1/1984
4428,D1675 over Matlabas river,Bridge,Bridge,8/24/2021,,Waterberg,,85.6,10.8,5,Simply supported,1/1/1983
4476,D1925 over Matlabas river,Bridge,Bridge,8/24/2021,,Waterberg,,91,10.3,11,Simply supported,1/1/1975
4519,D579 over Rooisloot river,Bridge,Bridge,9/6/2021,,Waterberg,,10,13.4,1,Simply supported,1/1/1982
4540,D2551 over N1/27,Bridge,Bridge,2/7/2022,,Capricorn,,40.1,13.35,2,Cantilever with drop in spans,1/1/1985
4641,D2484  over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,91,10.1,6,Simply supported,1/1/1983
4674,D617 over river,Bridge,Bridge,7/22/2021,,Capricorn,,74.4,10.7,4,Continuous,1/1/1986
4675,D617 over river,Bridge,Bridge,7/22/2021,,Capricorn,,8.4,10.65,1,Simply supported,1/1/1986
4677,D617 over river,Bridge,Bridge,7/22/2021,,Capricorn,,116.2,10.45,6,Continuous,1/1/1986
4730,D1261  over river,Bridge,Bridge,8/4/2021,,Sekhukhune,,25.2,11.9,3,Simply supported,1/1/1980
479,P33/1 over river,Bridge,Bridge,2/7/2022,,Capricorn,,39,8,3,Simply supported,1/1/1957
4812,D2515 over river,Bridge,Bridge,9/9/2021,,Waterberg,,16.2,10,1,Simply supported,1/1/1980
4833,P171/1  over river,Bridge,Bridge,8/3/2021,,Sekhukhune,,10,13.55,1,Simply supported,1/1/1980
4853,D845 over Kolope River,Bridge,Bridge,8/10/2021,,Vhembe,,35,10.6,2,Simply supported,1/1/1980
4854,D190 over river,Bridge,Bridge,7/26/2021,,Waterberg,,33.8,10.5,4,Simply supported,1/1/1986
4871,D544 over Bloed river,Bridge,Bridge,7/21/2021,,Capricorn,,36.9,10.8,2,Simply supported,1/1/1975
4970,D2181 over river,Bridge,Bridge,8/6/2021,,Capricorn,,17.3,10.25,2,Simply supported,1/1/1980
4999,D1649 over Crocodile river,Bridge,Bridge,7/30/2021,,Waterberg,,88.6,10.6,4,Simply supported,1/1/1990
5041,D1458  over river,Bridge,Bridge,8/5/2021,,Sekhukhune,,17.41,10.7,2,Simply supported,1/1/1990
508,D597 over Hout river,Bridge,Bridge,9/4/2021,,Vhembe,,66.1,12.4,4,Simply supported,1/1/2002
5106,D1170  over Selous river,Bridge,Bridge,8/2/2021,,Sekhukhune,,32.4,10.6,2,Simply supported,1/1/1985
5126,D723 over Rail,Bridge,Bridge,8/14/2021,,Vhembe,,34,10.8,3,Simply supported,1/1/1985
5156,D70 over river,Bridge,Bridge,8/2/2021,,Mopani,,24.9,10.6,3,Simply supported,1/1/1980
5200,D3790 over river,Bridge,Bridge,8/4/2021,,Mopani,,41.3,9.7,3,Continuous,1/1/1990
5200B,D2692 over river,Bridge,Bridge,8/10/2021,,Vhembe,,31.4,10.6,2,Simply supported,1/1/1985
5213,D506 over Brak river,Bridge,Bridge,2/2/2022,,Vhembe,,49.3,10.5,3,Simply supported,1/1/1990
5239,D1292 over Hlangana River,Bridge,Bridge,9/6/2021,,Mopani,,34.1,10.6,2,Simply supported,1/1/1985
5280,D928 over river,Bridge,Bridge,7/30/2021,,Waterberg,,13.2,9,1,Simply supported,1/1/1990
5287,D977 over river,Bridge,Bridge,8/11/2021,,Capricorn,,10.1,10.65,1,Simply supported,1/1/1975
5455,P33/1 over river,Bridge,Bridge,2/7/2022,,Capricorn,,300,12,75,Simply supported,1/1/1975
5475,D2900 over Elands river,Bridge,Bridge,7/27/2021,,Sekhukhune,,83.1,13.5,5,Simply supported,1/1/2005
5477,D21 over Makhutswi River,Bridge,Bridge,9/4/2021,,Mopani,,27,14,3,Continuous,1/1/2005
5602,D2512 over Groot Letaba,Bridge,Bridge,7/28/2021,,Mopani,,59.5,6.45,3,Simply supported,1/1/2001
5605,D3712 over Mutale river,Bridge,Bridge,9/1/2021,,Vhembe,,103.8,4.4,10,Continous and simply supported,1/1/2001
5625,P278/1 over Nzhelele river,Bridge,Bridge,8/13/2021,,Vhembe,,100,13.4,5,Continous and simply supported,1/1/2001
5749,D3708 over Luvuvhu river,Bridge,Bridge,8/30/2021,,Vhembe,,102,11.3,4,Continuous,1/1/2004
5776,D3830 over Klein Letaba river,Bridge,Bridge,8/14/2021,,Vhembe,,6.8,10.7,6,Continuous,1/1/2001
5802,D449 over Nzhelele river,Bridge,Bridge,8/13/2021,,Vhembe,,181.9,13.4,9,Continuous,1/1/2001
5816,D4 over Karringmelk spruit,Bridge,Bridge,9/4/2021,,Vhembe,,45.4,13.4,5,Simply supported,1/1/1960
5820,D3756 over Luvuvhu river,Bridge,Bridge,9/1/2021,,Vhembe,,76.8,11.4,4,Simply supported,1/1/2008
5821,D3150 over Mokholotli river,Bridge,Bridge,8/1/2021,,Mopani,,51.3,9.95,6,Simply supported,1/1/2005
5848,D3709 over Mutshindudi river,Bridge,Bridge,8/31/2021,,Vhembe,,48.3,10.6,3,Simply supported,1/1/2001
5946,D4100 over river,Bridge,Bridge,8/13/2021,,Sekhukhune,,15.3,12.75,2,Continuous,1/1/2002
5970,D4380 over river,Bridge,Bridge,9/7/2021,,Waterberg,,14,13,2,Simply supported,1/1/1975
5971,D4380 over Mogalakwena river,Bridge,Bridge,9/3/2021,,Waterberg,,53.8,11.3,8,Simply supported,1/1/1970
6030,D4250 over Ngwaritsi river,Bridge,Bridge,8/12/2021,,Sekhukhune,,55,12.6,7,Simply supported,1/1/2006
6090,D1350 over river,Bridge,Bridge,7/30/2021,,Mopani,,16,9,1,Simply supported,1/1/2006
6101,D11 over Middle Letaba river,Bridge,Bridge,8/3/2021,,Mopani,,140,10.55,7,Continuous,1/1/2001
6104,D3182 over Molototsi river,Bridge,Bridge,8/3/2021,,Mopani,,15.6,8.6,1,Simply supported,1/1/2002
6107,D4137 over Olifants river,Bridge,Bridge,8/17/2021,,Sekhukhune,,120,10,4,Continuous,1/1/2003
6108,D3750 over Luvuvhu,Bridge,Bridge,9/1/2021,,Vhembe,,119.2,13.6,6,Continous and simply supported,1/1/2003
6111,D4040 over Witsloot River,Bridge,Bridge,2/1/2022,,Capricorn,,81,10.6,4,Continuous,1/1/2004
6112,D4190 over Mohlaletsi River,Bridge,Bridge,8/31/2021,,Sekhukhune,,90,13.45,6,Simply supported,1/1/2004
6113,D2657 over Koper Spruit,Bridge,Bridge,7/27/2021,,Capricorn,,44.4,10.45,4,Continous and simply supported,1/1/2004
6114,D3332 over Hout river,Bridge,Bridge,8/26/2021,,Capricorn,,60.5,10.69,6,Continous and simply supported,1/1/2004
6125,D3500 over Pholotsi river,Bridge,Bridge,9/7/2021,,Waterberg,,20.6,13,3,Simply supported,1/1/2005
6129,D3893 over river,Bridge,Bridge,9/4/2021,,Mopani,,38,12.2,3,Continuous,1/1/2004
6130,D11 over Lebjelebore river,Bridge,Bridge,8/1/2021,,Mopani,,60,10.55,4,Simply supported,1/1/2005
6131,D3881 over Thabina river,Bridge,Bridge,9/4/2021,,Mopani,,52.5,10.6,3,Simply supported,1/1/2004
6137,D3840 over Ka-malilibone river,Bridge,Bridge,7/28/2021,,Mopani,,16.2,10.55,2,Continuous,1/1/2006
6138,D3810 Ext Over Klein Letaba,Bridge,Bridge,7/28/2021,,Mopani,,160,12.95,8,Simply supported,1/1/2007
6139,D4129 over Motse river,Bridge,Bridge,8/17/2021,,Sekhukhune,,42.33,10.55,3,Continuous,1/1/2006
6143,D3681 over Mutsindudi river,Bridge,Bridge,9/2/2021,,Vhembe,,54.8,13.2,3,Simply supported,1/1/2009
6144,D3681 over Tshinane river,Bridge,Bridge,9/2/2021,,Vhembe,,19,14.2,1,Simply supported,1/1/2009
6145,D4100 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,34.2,12.45,4,Frame,1/1/2007
6149,D3180 over Molototsi river,Bridge,Bridge,8/3/2021,,Mopani,,100.8,10.55,6,Simply supported,1/1/2009
6150,D1200 over Mogalakwena river,Bridge,Bridge,8/25/2021,,Capricorn,,90.6,10.55,6,Continous and simply supported,1/1/2007
6151,D3697 over river,Bridge,Bridge,8/11/2021,,Vhembe,,45.2,10.7,8,Simply supported,1/1/2008
6152,D3708 over Mbwedi river,Bridge,Bridge,8/30/2021,,Vhembe,,54,14.4,3,Simply supported,1/1/2006
6153,D4100 over Makotswane river,Bridge,Bridge,8/12/2021,,Sekhukhune,,20,12.55,1,Simply supported,1/1/2008
6153B,D3748 over river,Bridge,Bridge,9/2/2021,,Vhembe,,24,15.2,3,Continuous,1/1/2007
6154,D3761 Over Mambedi river,Bridge,Bridge,9/2/2021,,Vhembe,,20.6,10,1,Simply supported,1/1/2007
6158,D4050 over Mahlatjane river,Bridge,Bridge,8/13/2021,,Capricorn,,22.6,12.6,2,Continuous,1/1/2007
6169,D1350 over river Botludi River,Bridge,Bridge,7/30/2021,,Mopani,,8,11.5,1,Simply supported,1/1/2007
6181,D3187 over Mmaba river,Bridge,Bridge,7/30/2021,,Mopani,,27.2,8.9,4,Simply supported,1/1/2007
6182,D3187 over river,Bridge,Bridge,7/30/2021,,Mopani,,23.6,9.1,3,Simply supported,1/1/2007
6184,D1350 over Nwanedzi river,Bridge,Bridge,7/31/2021,,Mopani,,48.3,8.8,3,Simply supported,1/1/1965
6186,D192 over Klein Mogalakwena ri,Bridge,Bridge,8/27/2021,,Waterberg,,65,10.6,4,Simply supported,1/1/2012
6190,D4204 over Mohlaletsi river,Bridge,Bridge,8/31/2021,,Sekhukhune,,69.2,11,4,Simply supported,1/1/2009
6196,6196 - D3771 over river,Bridge,Bridge,9/4/2021,,,,12.8,18.4,4,Continuous,1/1/2011
6205,P43/3 over Marupyabeni river,Bridge,Bridge,2/1/2022,,Mopani,,48.3,10.6,3,Simply supported,1/1/2010
6208,D4055 over Olifants river,Bridge,Bridge,8/13/2021,,Capricorn,,161,10.65,7,Simply supported,1/1/2010
6209,Access road over Motse river,Bridge,Bridge,2/7/2022,,Sekhukhune,,80,10.55,4,Simply supported,1/1/2011
6217,D3727 Over Klein Letaba,Bridge,Bridge,8/14/2021,,Vhembe,,100,10.6,5,Simply supported,1/1/2015
6227,D3847 over Molototsi river,Bridge,Bridge,7/28/2021,,Mopani,,100,10.55,5,Simply supported,1/1/2012
6229,D4137 over Olifants river,Bridge,Bridge,8/17/2021,,Sekhukhune,,116.3,5.6,3,Truss,1/1/2012
643,D1567 over Rietspruit,Bridge,Bridge,7/27/2021,,Capricorn,,20.7,5.5,3,Simply supported,1/1/1939
681,D1525 over river,Bridge,Bridge,8/3/2021,,Sekhukhune,,10.2,5.5,3,Simply supported,1/1/1965
814,P171/1 over river,Bridge,Bridge,8/3/2021,,Sekhukhune,,18,13.65,1,Simply supported,1/1/1985
837,D217 over Mogalakwena river,Bridge,Bridge,8/25/2021,,Capricorn,,89.4,5.3,5,Cantilever with drop in spans,1/1/1948
86,P95/1 over canal,Bridge,Bridge,8/3/2021,,Sekhukhune,,7.9,12,1,Simply supported,1/1/1964
88,P1/3 over Pienaars river,Bridge,Bridge,9/7/2021,,Waterberg,,32.5,13.2,6,Simply supported,1/1/1968
B194,Truss structure over Steelpoortriver,Bridge,Bridge,2/3/2022,,Sekhukhune,,62.5,4.9,1,Truss,1/1/1926
B6026,D4200 over Dithothwaneng River,Bridge,Bridge,9/1/2021,,Sekhukhune,,30.1,13.75,3,Frame,1/1/2020
NB007,P135/1 over Nzhelele river,Bridge,Bridge,8/12/2021,,Vhembe,,75.8,10.8,5,Simply supported,1/1/1970
NB012,P240/1 over river,Bridge,Bridge,7/28/2021,,Waterberg,,24.6,4.8,3,Simply supported,1/1/1956
NB014,P277/1 over Mutale river,Bridge,Bridge,8/11/2021,,Vhembe,,124.6,13.6,7,Simply supported,1/1/1984
NB015,P277/1 over Mutshindudi river,Bridge,Bridge,9/1/2021,,Vhembe,,17,12.4,2,Simply supported,1/1/1970
NB016,P277/1 Tshinane river,Bridge,Bridge,9/1/2021,,Vhembe,,60,15.3,3,Continuous,1/1/1970
NB017,P277/1 over river,Bridge,Bridge,8/31/2021,,Vhembe,,11.5,11.9,2,Simply supported,1/1/1970
NB018,P277/1 over Mbwedi river,Bridge,Bridge,8/31/2021,,Vhembe,,36.8,12.6,2,Simply supported,1/1/1970
NB019,P278/1 over Khandanama river,Bridge,Bridge,9/4/2021,,Vhembe,,51.5,10.5,5,Simply supported,1/1/1970
NB020,P278/1 over river,Bridge,Bridge,8/13/2021,,Vhembe,,35.5,10.7,4,Simply supported,1/1/1970
NB036,Drift on road D1200,Bridge,Bridge,8/25/2021,,Capricorn,,18.5,4,1,Other,1/1/1970
NB037,D1200 over Mogalakwena river,Bridge,Bridge,2/7/2022,,Capricorn,,53.5,4.7,3,Simply supported,1/1/1970
NB038,D1253 over Lotanyanda River,Bridge,Bridge,9/1/2021,,Vhembe,,21.4,12,1,Simply supported,1/1/1970
NB040,D1324 over Olifants spruit,Bridge,Bridge,7/27/2021,,Waterberg,,39,4.7,3,Simply supported,1/1/1957
NB044,D1460 over Palala river,Bridge,Bridge,8/27/2021,,Waterberg,,43.2,5.2,4,Arch,1/1/1970
NB045,D1489 over  Sand river,Bridge,Bridge,9/5/2021,,Vhembe,,52.8,4.9,4,Simply supported,1/1/1970
NB046,D15 over river,Bridge,Bridge,8/4/2021,,Capricorn,,7.3,9.3,1,Simply supported,1/1/1970
NB053,D1754 over Palala river,Bridge,Bridge,8/30/2021,,Waterberg,,57.6,4.8,7,Simply supported,1/1/1970
NB060,D19 over Rail,Bridge,Bridge,7/21/2021,,Capricorn,,19.7,16,1,Simply supported,1/1/1970
NB063,D1944 over Elands river,Bridge,Bridge,9/8/2021,,Waterberg,,21.7,4.2,4,Simply supported,1/1/1970
NB064,D1944 over river,Bridge,Bridge,9/7/2021,,Waterberg,,51.6,13.4,3,Cellular,1/1/2012
NB065,D1958 over river,Bridge,Bridge,9/9/2021,,Capricorn,,7.2,8.8,1,Simply supported,1/1/1970
NB066,D2018 over Mutamba river,Bridge,Bridge,8/12/2021,,Vhembe,,16.2,8.5,2,Simply supported,1/1/1970
NB068,D2037 over Sand river,Bridge,Bridge,8/4/2021,,Capricorn,,82.2,12.56,5,Simply supported,1/1/1970
NB070,D2211 over Goud river,Bridge,Bridge,9/6/2021,,Waterberg,,23.5,8,1,Cellular,1/1/1970
NB073,D2417 over river,Bridge,Bridge,9/8/2021,,Waterberg,,33,5,3,Simply supported,1/1/2000
NB079,D2575 over Palala river,Bridge,Bridge,8/30/2021,,Waterberg,,48.4,4.6,8,Continuous,1/1/1970
NB087,D2748 over Sand river,Bridge,Bridge,7/28/2021,,Waterberg,,25.4,4.8,3,Simply supported,1/1/1956
NB093,D3150 over river,Bridge,Bridge,8/1/2021,,Mopani,,12.4,9.4,2,Simply supported,1/1/1970
NB094,D3150 over river,Bridge,Bridge,8/1/2021,,Mopani,,39.4,8.8,4,Simply supported,1/1/1970
NB095,D3164 over Middle Letaba river,Bridge,Bridge,9/3/2021,,Vhembe,,47,8,3,Continuous,1/1/1970
NB096,D3164 over river,Bridge,Bridge,9/3/2021,,Vhembe,,6.1,9.2,1,Simply supported,1/1/1970
NB100,D3187 over river,Bridge,Bridge,7/27/2021,,Mopani,,6,8.6,1,Simply supported,1/1/1970
NB101,D3211 over river,Bridge,Bridge,7/29/2021,,Mopani,,13,9.2,2,Simply supported,1/1/1970
NB102,D3248 over river,Bridge,Bridge,9/6/2021,,Mopani,,20.6,10.4,2,Continuous,1/1/1970
NB103,D3252 over Lerwatlou river,Bridge,Bridge,8/5/2021,,Mopani,,70.6,9.6,11,Simply supported,1/1/1970
NB104,D3269 over river,Bridge,Bridge,9/9/2021,,Waterberg,,19.5,9.5,3,Simply supported,1/1/1970
NB108,D3297 over river,Bridge,Bridge,8/25/2021,,Capricorn,,6.6,9,1,Simply supported,1/1/1970
NB110,D3303 over Mogalakwena River Tributary 1,Bridge,Bridge,8/25/2021,,Capricorn,,12.8,9,2,Simply supported,1/1/1970
NB111,D3303 over river,Bridge,Bridge,8/25/2021,,Capricorn,,13.7,9,2,Simply supported,1/1/1970
NB112,D3322 over Boshela River,Bridge,Bridge,8/20/2021,,Capricorn,,19.8,9.91,3,Simply supported,1/1/1970
NB113,D3355 over river,Bridge,Bridge,7/19/2021,,Capricorn,,28.8,8.6,3,Simply supported,1/1/1970
NB114,D3355 over river,Bridge,Bridge,7/16/2021,,Capricorn,,6.67,11.2,1,Simply supported,1/1/1970
NB115,D3364 over river,Bridge,Bridge,7/21/2021,,Capricorn,,6.1,7.9,1,Simply supported,1/1/1970
NB116,D3370 over river,Bridge,Bridge,7/21/2021,,Capricorn,,20.4,9.47,3,Simply supported,1/1/1970
NB117,D3370 over river,Bridge,Bridge,7/21/2021,,Capricorn,,20.9,11.29,3,Simply supported,1/1/1970
NB118,D3377 over river,Bridge,Bridge,7/16/2021,,Capricorn,,32.6,11,5,Simply supported,1/1/1970
NB133,D3576 over river,Bridge,Bridge,9/7/2021,,Waterberg,,7.6,10,1,Simply supported,1/1/1970
NB134,D3576 over river,Bridge,Bridge,9/9/2021,,Waterberg,,14,8.7,2,Simply supported,1/1/1970
NB137,D3634 over river,Bridge,Bridge,7/29/2021,,Vhembe,,13,9.9,2,Simply supported,1/1/1970
NB139,D3635 over Nsama river,Bridge,Bridge,7/29/2021,,Vhembe,,34.1,10.25,3,Simply supported,1/1/1970
NB146,D3653 over river,Bridge,Bridge,8/30/2021,,Vhembe,,28,4.9,4,Simply supported,1/1/1970
NB148,D3671 over Nzhelele river,Bridge,Bridge,8/12/2021,,Vhembe,,68.4,10.7,4,Simply supported,1/1/1970
NB153,D3684 over Mbilili river,Bridge,Bridge,8/12/2021,,Vhembe,,18.6,11.6,3,Simply supported,1/1/1970
NB154,D3685 over river,Bridge,Bridge,8/31/2021,,Vhembe,,21.6,10.3,8,Continous and simply supported,1/1/1970
NB155,D3689 over river,Bridge,Bridge,8/31/2021,,Vhembe,,35,12.6,2,Simply supported,1/1/1970
NB156,D3695 over river,Bridge,Bridge,9/1/2021,,Vhembe,,17.2,11.4,2,Simply supported,1/1/1970
NB157,D3695 over river,Bridge,Bridge,8/31/2021,,Vhembe,,17.6,12,2,Simply supported,1/1/1970
NB159,D3695 over river,Bridge,Bridge,8/31/2021,,Vhembe,,18,13.4,2,Simply supported,1/1/1970
NB160,D3695 over Mutale river,Bridge,Bridge,8/31/2021,,Vhembe,,60,12.6,4,Simply supported,1/1/1970
NB164,D3712 over river,Bridge,Bridge,8/31/2021,,Vhembe,,14.8,12.7,2,Simply supported,1/1/1990
NB167,D3717 over river,Bridge,Bridge,9/1/2021,,Vhembe,,13.2,11.2,2,Simply supported,1/1/1970
NB171,D3734 over river,Bridge,Bridge,8/1/2021,,Mopani,,26.6,10.1,4,Simply supported,1/1/1970
NB172,D3736 over  Mahebe river,Bridge,Bridge,9/1/2021,,Vhembe,,6.9,4.2,1,Simply supported,1/1/1970
NB173,D3740 over Luvuvhu river,Bridge,Bridge,2/7/2022,,Vhembe,,61.9,4.9,21,Frame,1/1/1970
NB174,D3741 over Khandanama river,Bridge,Bridge,9/4/2021,,Vhembe,,59.5,10.1,4,Simply supported,1/1/1970
NB178,D3750 over Luvuvhu river,Bridge,Bridge,9/2/2021,,Vhembe,,26.4,10.2,4,Simply supported,1/1/1970
NB179,D3750 over river,Bridge,Bridge,9/1/2021,,Vhembe,,21.3,11,1,Simply supported,1/1/1970
NB180,D3753 over river,Bridge,Bridge,9/3/2021,,Vhembe,,62.4,10.8,4,Simply supported,1/1/2014
NB184,D3771 over river,Bridge,Bridge,9/22/2021,,Mopani,,12.8,5.7,2,Simply supported,1/1/1970
NB185,D3772 over river,Bridge,Bridge,9/4/2021,,Mopani,,18.8,10.7,2,Simply supported,1/1/1970
NB186,D3902 over river,Bridge,Bridge,9/3/2021,,Mopani,,6.6,11.8,1,Simply supported,1/1/1970
NB188,D3811 over Nsami river,Bridge,Bridge,7/28/2021,,Mopani,,59.5,5.9,9,Simply supported,1/1/1970
NB189,D3827 over Klein Letaba river,Bridge,Bridge,9/3/2021,,Vhembe,,87.5,13.6,5,Simply supported,1/1/1992
NB190,D3830 over river,Bridge,Bridge,8/14/2021,,Vhembe,,17.2,11.2,2,Simply supported,1/1/1965
NB192,D3870 over Letsitele river,Bridge,Bridge,9/4/2021,,Mopani,,37.1,6.4,2,Simply supported,1/1/1965
NB193,D3908 over river,Bridge,Bridge,9/3/2021,,Mopani,,7,9.6,1,Simply supported,1/1/1970
NB204,D4016 over river,Bridge,Bridge,7/22/2021,,Capricorn,,13.8,10.2,2,Simply supported,1/1/1970
NB205,D4017 over river,Bridge,Bridge,7/22/2021,,Capricorn,,20.4,3.7,5,Frame,1/1/2010
NB208,D4068 over Matime river,Bridge,Bridge,8/13/2021,,Capricorn,,29.9,10.8,3,Continuous,1/1/2003
NB209,D4083 over river,Bridge,Bridge,8/11/2021,,Capricorn,,16.8,11.76,3,Simply supported,1/1/1970
NB210,D4199 over river,Bridge,Bridge,9/1/2021,,Sekhukhune,,49,9.2,7,Simply supported,1/1/1970
NB211,D2405 over river,Bridge,Bridge,8/18/2021,,Sekhukhune,,13.4,13,2,Continuous,1/1/2012
NB221,D617 over river,Bridge,Bridge,7/22/2021,,Mopani,,16.2,10.7,1,Frame,1/1/1970
NB224,D3645 over river,Bridge,Bridge,8/30/2021,,Vhembe,,19.35,6,3,Simply supported,1/1/1970
NB228,D873 over Zwanepoelsdrift,Bridge,Bridge,8/26/2021,,Capricorn,,7.2,8.6,1,Simply supported,1/1/1970
NB229,Drift on road D873,Bridge,Bridge,9/21/2021,,Waterberg,,29,8.3,1,Other,1/1/1970
NB231,D924 over river,Bridge,Bridge,9/7/2021,,Waterberg,,21,5.3,6,Continuous,1/1/1970
NB232,D928 over river,Bridge,Bridge,8/23/2021,,Waterberg,,27,7.9,3,Simply supported,1/1/1970
NB233,D928 over Sand river,Bridge,Bridge,8/24/2021,,Waterberg,,50.2,8.2,3,Simply supported,1/1/1970
NB238,D3669 over Mutshedzi river,Bridge,Bridge,8/13/2021,,Vhembe,,39.2,11.4,4,Simply supported,1/1/1970
NB241,D3210 over river,Bridge,Bridge,8/1/2021,,Mopani,,6.5,8.3,1,Simply supported,1/1/1970
NB242,D3223 over river,Bridge,Bridge,8/1/2021,,Mopani,,38.8,5,4,Simply supported,1/1/1970
NB243,D3232 over river,Bridge,Bridge,8/1/2021,,Mopani,,18.5,8.9,2,Simply supported,1/1/1970
NB244,D3406 over Hout River,Bridge,Bridge,2/4/2022,,Capricorn,,32.6,4.3,5,Simply supported,1/1/1960
NB245,D3666 over Luvuvhu river,Bridge,Bridge,8/30/2021,,Vhembe,,48,9.8,4,Simply supported,1/1/1970
NB246,D3753 over river,Bridge,Bridge,2/4/2022,,Vhembe,,4.95,4.35,1,Simply supported,1/1/1970
NB247,D3777 over river,Bridge,Bridge,2/4/2022,,Vhembe,,12.4,5.4,2,Simply supported,1/1/1970
NB253,D3980 over Groot Letaba  river,Bridge,Bridge,7/28/2021,,Mopani,,180.8,10.8,9,Simply supported,1/1/1970
NB254,D3953 over river,Bridge,Bridge,9/3/2021,,Vhembe,,20.3,11.4,3,Simply supported,1/1/1970
NB255,D4217 over Ngwaritsi river,Bridge,Bridge,8/12/2021,,Sekhukhune,,42,5,7,Simply supported,1/1/1970
NB257,D4066 over river,Bridge,Bridge,8/19/2021,,Capricorn,,36.5,12.55,5,Simply supported,1/1/1938
NB258,D4000 over river,Bridge,Bridge,8/11/2021,,Capricorn,,26.6,9.2,4,Simply supported,1/1/1970
NB259,D4000 over river,Bridge,Bridge,8/11/2021,,Capricorn,,9,8.45,1,Simply supported,1/1/1970
SB1226,D598 over Rail,Bridge,Bridge,9/2/2021,,Waterberg,,28.2,10.6,3,Simply supported,1/1/1996
UN112,D3684 over river,Bridge,Bridge,8/13/2021,,Vhembe,,14.6,16,2,Simply supported,1/1/1975
UN114,D3669 over river,Bridge,Bridge,8/13/2021,,Vhembe,,38.8,11.5,4,Simply supported,1/1/1970
UN117,D929 over river,Bridge,Bridge,9/4/2021,,Vhembe,,62.5,4.2,11,Simply supported,1/1/1965
UN119,D8 over river,Bridge,Bridge,9/4/2021,,Mopani,,8.7,11.5,1,Simply supported,1/1/1960
UN12,D4204 over Mohlaletsi river,Bridge,Bridge,9/22/2021,,Sekhukhune,,68.4,10.7,4,Simply supported,1/1/2009
UN122,Rail over D523,Bridge,Bridge,8/5/2021,,Mopani,,17.6,9.5,1,Simply supported,1/1/1960
UN123,Rail over D589,Bridge,Bridge,9/2/2021,,Mopani,,28.6,17.2,1,Simply supported,1/1/1965
UN127,D1801 over Rail,Bridge,Bridge,7/31/2021,,Mopani,,56,14,4,Simply supported,1/1/1960
