Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,District,Municipality,Road No.,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
1609,D1827 over Selati river,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,6874845,16518385,17398760,919800,9604117,45140,80.3,4.8,8.4,,,,,,,,,,,,,1,0.448,63
1610,D202 over Makhutswi river,Bridge,Bridge,8/4/2021,Mopani,,,6/30/2022,8/4/2021,7350148,15730886,16374400,51080,8973172,30100,64,8.5,6.8,,,,,,,,,,,,,1,0.452,62
1612,D1942 over Nwanedzi river,Bridge,Bridge,8/11/2021,Vhembe,,,6/30/2022,8/11/2021,9035289,15098438,15878050,173980,6668782,30100,49.3,10.7,5.5,,,,,,,,,,,,,1,0.58,42
1617,D19 over Sand river,Bridge,Bridge,7/21/2021,Capricorn,,,6/30/2022,7/21/2021,8904398,18208486,20385680,391470,11089808,30100,48.9,13.85,5.67,,,,,,,,,,,,,1,0.456,61
1620,P116/1 over Riet spruit,Bridge,Bridge,1/27/2022,Mopani,,,6/30/2022,1/17/2022,3787803,7262807,8484588,47230,4649555,30100,32.4,8.7,2.64,,,,,,,,,,,,,1,0.452,62
1621,D930 over Nyl river,Bridge,Bridge,9/10/2021,Waterberg,,,6/30/2022,8/3/2021,8185538,17103441,19251960,439340,10627082,30100,49.2,13,3.35,,,,,,,,,,,,,1,0.448,63
1623,D192 over Mokamole river,Bridge,Bridge,9/8/2021,Waterberg,,,6/30/2022,8/5/2021,6707695,14417928,16485170,743600,9033873,30100,65.2,8.4,5.7,,,,,,,,,,,,,1,0.452,62
1624,D2644 over river,Bridge,Bridge,8/30/2021,Waterberg,,,6/30/2022,6/26/2021,2271612,5981351,7073500,925610,3876278,30100,50,4.7,5.5,,,,,,,,,,,,,1,0.452,62
1636,D2538 over river,Bridge,Bridge,8/18/2021,Sekhukhune,,,6/30/2022,8/18/2021,1984433,3601423,4033400,0,2048967,30100,26.8,5,5.05,,,,,,,,,,,,,1,0.492,52
1655,D1942 over river,Bridge,Bridge,8/11/2021,Vhembe,,,6/30/2022,8/11/2021,3747860,6855226,7109018,19920,3341238,30100,48.2,4.9,6.1,,,,,,,,,,,,,1,0.53,47
1660,P51/3 over Bloed river,Bridge,Bridge,2/1/2022,Sekhukhune,,,6/30/2022,1/20/2022,11038933,21248161,25274370,1193860,13041575,30100,65.6,12.8,3.03,,,,,,,,,,,,,1,0.484,54
1664,D548 over river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,1480926,3118301,3286920,70500,1735494,30100,13,8.4,4,,,,,,,,,,,,,1,0.472,57
1676,D548 over Groot Letaba River,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,4349331,15364921,16955330,3450120,9155879,30100,65.5,8.6,5.2,,,,,,,,,,,,,1,0.46,60
1679,Jan Zeelie Bridge ( D854/river,Bridge,Bridge,8/10/2021,Vhembe,,,6/30/2022,8/10/2021,5199706,10815040,12143540,337750,6606088,30100,32.8,12.3,6.1,,,,,,,,,,,,,1,0.456,61
1680,P18/2 over river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,2393399,4946157,5634720,243650,2997671,30100,15.6,12,4.15,,,,,,,,,,,,,1,0.468,58
1681,P18/2 over river,Bridge,Bridge,8/6/2021,Capricorn,,,6/30/2022,8/6/2021,2204478,5753309,6935040,1041120,3689442,30100,19.2,12,5.98,,,,,,,,,,,,,1,0.468,58
1688,P171/1 over river,Bridge,Bridge,8/3/2021,Sekhukhune,,,6/30/2022,8/3/2021,5277595,11528703,12536650,388970,6870085,30100,49,8.5,4.73,,,,,,,,,,,,,1,0.452,62
1690,D854 over Sand Sloot river,Bridge,Bridge,9/4/2021,Vhembe,,,6/30/2022,9/4/2021,5472393,11783635,11943680,21700,6449587,30100,32,12.4,4.11,,,,,,,,,,,,,1,0.46,60
1693,D1942 over Sand river,Bridge,Bridge,8/11/2021,Vhembe,,,6/30/2022,8/11/2021,7537070,15334896,16555000,78230,8939700,30100,110,5,7.6,,,,,,,,,,,,,1,0.46,60
1708,D1519 over Doornfonteintjies,Bridge,Bridge,8/26/2021,Capricorn,,,6/30/2022,8/26/2021,2332601,5717047,7094871,874280,3887990,30100,48.6,4.85,4.2,,,,,,,,,,,,,1,0.452,62
1757,D932 over Bokpoort spruit,Bridge,Bridge,7/26/2021,Waterberg,,,6/30/2022,7/8/2021,1644714,3275650,3756480,143370,1968396,30100,26,4.8,3.6,,,,,,,,,,,,,1,0.476,56
1758,D579 over Dwars river,Bridge,Bridge,7/26/2021,Waterberg,,,6/30/2022,7/1/2021,942345,2028077,2113020,55000,1115675,30100,15.6,4.5,6.7,,,,,,,,,,,,,1,0.472,57
1759,P240/1 over Loubad spruit,Bridge,Bridge,7/27/2021,Waterberg,,,6/30/2022,6/30/2021,2954115,6045338,7034370,225420,3854835,30100,24.6,9.5,5,,,,,,,,,,,,,1,0.452,62
