Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District,Municipality,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
4519,D579 over Rooisloot river,Bridge,Bridge,9/6/2021,,,,Waterberg,,6/30/2022,86.94,92.7
4521,4521 - D1909 over river,Major Culvert,Culvert Major,8/2/2021,,,,,,6/30/2022,90.62,71.42
4540,D2551 over N1/27,Bridge,Bridge,2/7/2022,,,,Capricorn,,6/30/2022,100,100
4641,D2484  over river,Bridge,Bridge,8/4/2021,,,,Sekhukhune,,6/30/2022,94.27,92.74
4674,D617 over river,Bridge,Bridge,7/22/2021,,,,Capricorn,,6/30/2022,98.21,98.66
4675,D617 over river,Bridge,Bridge,7/22/2021,,,,Capricorn,,6/30/2022,98.33,98.78
4677,D617 over river,Bridge,Bridge,7/22/2021,,,,Capricorn,,6/30/2022,97.77,97.29
4730,D1261  over river,Bridge,Bridge,8/4/2021,,,,Sekhukhune,,6/30/2022,85.04,80.15
4784,D2001 over Conveyor,Major Culvert,Culvert Major,9/2/2021,,,,Waterberg,,6/30/2022,86.36,91.59
479,P33/1 over river,Bridge,Bridge,2/7/2022,,,,Capricorn,,6/30/2022,100,100
4812,D2515 over river,Bridge,Bridge,9/9/2021,,,,Waterberg,,6/30/2022,94.31,96.87
4833,P171/1  over river,Bridge,Bridge,8/3/2021,,,,Sekhukhune,,6/30/2022,96.11,82.44
4853,D845 over Kolope River,Bridge,Bridge,8/10/2021,,,,Vhembe,,6/30/2022,95.54,93.89
4854,D190 over river,Bridge,Bridge,7/26/2021,,,,Waterberg,,6/30/2022,89.55,82.54
4871,D544 over Bloed river,Bridge,Bridge,7/21/2021,,,,Capricorn,,6/30/2022,89.96,92.67
4970,D2181 over river,Bridge,Bridge,8/6/2021,,,,Capricorn,,6/30/2022,89.73,75.94
4999,D1649 over Crocodile river,Bridge,Bridge,7/30/2021,,,,Waterberg,,6/30/2022,92.41,91.73
5017,D845 Over River,,Culvert Lesser,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5041,D1458  over river,Bridge,Bridge,8/5/2021,,,,Sekhukhune,,6/30/2022,73.21,80.97
508,D597 over Hout river,Bridge,Bridge,9/4/2021,,,,Vhembe,,6/30/2022,100,100
5106,D1170  over Selous river,Bridge,Bridge,8/2/2021,,,,Sekhukhune,,6/30/2022,85.04,78.38
5126,D723 over Rail,Bridge,Bridge,8/14/2021,,,,Vhembe,,6/30/2022,97.1,90.24
5156,D70 over river,Bridge,Bridge,8/2/2021,,,,Mopani,,6/30/2022,99.11,98.94
5200,D3790 over river,Bridge,Bridge,8/4/2021,,,,Mopani,,6/30/2022,99.11,95.4
5200B,D2692 over river,Bridge,Bridge,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5213,D506 over Brak river,Bridge,Bridge,2/2/2022,,,,Vhembe,,6/30/2022,93.42,92.33
5239,D1292 over Hlangana River,Bridge,Bridge,9/6/2021,,,,Mopani,,6/30/2022,91.52,90.81
5280,D928 over river,Bridge,Bridge,7/30/2021,,,,Waterberg,,6/30/2022,99.17,99.51
5287,D977 over river,Bridge,Bridge,8/11/2021,,,,Capricorn,,6/30/2022,89.72,87.65
5317,D2692 Over River,Major Culvert,Culvert Major,8/10/2021,,,,Vhembe,,6/30/2022,94.32,85.06
5318,D2692 Over River,Bridge,Bridge Cellular,8/10/2021,,,,Vhembe,,6/30/2022,91.48,85.91
5320,D2692 Over River,Major Culvert,Culvert Major,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5321,D2692 Over River,Major Culvert,Culvert Major,8/10/2021,,,,Vhembe,,6/30/2022,92.9,86.58
5322,D2692 Over River,Major Culvert,Culvert Major,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5323,D2692 Over River,,Culvert Lesser,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5324,D2692 Over River,,Culvert Lesser,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5325,D2692 Over River,Bridge,Bridge Cellular,8/10/2021,,,,Vhembe,,6/30/2022,100,100
5455,P33/1 over river,Bridge,Bridge,2/7/2022,,,,Capricorn,,6/30/2022,100,100
5475,D2900 over Elands river,Bridge,Bridge,7/27/2021,,,,Sekhukhune,,6/30/2022,94.64,88.18
5477,D21 over Makhutswi River,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,98.66,98.73
5602,D2512 over Groot Letaba,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,96.43,97.08
5605,D3712 over Mutale river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,95.31,89.91
5625,P278/1 over Nzhelele river,Bridge,Bridge,8/13/2021,,,,Vhembe,,6/30/2022,98.88,90.99
5687,#NAME?,Bridge,Bridge Cellular,8/1/2021,,,,,,6/30/2022,95.45,97.6
5749,D3708 over Luvuvhu river,Bridge,Bridge,8/30/2021,,,,Vhembe,,6/30/2022,98.44,84.59
5772,#NAME?,Bridge,Bridge Cellular,7/29/2021,,,,,,6/30/2022,91.76,96.96
5776,D3830 over Klein Letaba river,Bridge,Bridge,8/14/2021,,,,Vhembe,,6/30/2022,97.1,78.78
5802,D449 over Nzhelele river,Bridge,Bridge,8/13/2021,,,,Vhembe,,6/30/2022,97.9,81.44
5816,D4 over Karringmelk spruit,Bridge,Bridge,9/4/2021,,,,Vhembe,,6/30/2022,97.21,64.89
5820,D3756 over Luvuvhu river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,99.11,95.4
5821,D3150 over Mokholotli river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,94.08,84.67
5848,D3709 over Mutshindudi river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,96.21,96.34
5946,D4100 over river,Bridge,Bridge,8/13/2021,,,,Sekhukhune,,6/30/2022,85.04,80.81
5959,D4100 over Madibjanen river,Bridge,Bridge Cellular,8/13/2021,,,,Sekhukhune,,6/30/2022,77.51,84.49
5970,D4380 over river,Bridge,Bridge,9/7/2021,,,,Waterberg,,6/30/2022,94.75,82.01
5971,D4380 over Mogalakwena river,Bridge,Bridge,9/3/2021,,,,Waterberg,,6/30/2022,87.35,71.44
6030,D4250 over Ngwaritsi river,Bridge,Bridge,8/12/2021,,,,Sekhukhune,,6/30/2022,86.53,90.27
6087,Kalkspruit Tributary 1,Major Culvert,Culvert Major,7/16/2021,,,,Capricorn,,6/30/2022,91.19,93.03
6090,D1350 over river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,98.89,98.94
6095,#NAME?,Bridge,Bridge Cellular,7/30/2021,,,,,,6/30/2022,98.3,98.73
6101,D11 over Middle Letaba river,Bridge,Bridge,8/3/2021,,,,Mopani,,6/30/2022,94.87,86.58
6104,D3182 over Molototsi river,Bridge,Bridge,8/3/2021,,,,Mopani,,6/30/2022,99.17,95.86
6107,D4137 over Olifants river,Bridge,Bridge,8/17/2021,,,,Sekhukhune,,6/30/2022,89.29,82.44
6108,D3750 over Luvuvhu,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,94.71,91.52
6111,D4040 over Witsloot River,Bridge,Bridge,2/1/2022,,,,Capricorn,,6/30/2022,96.79,93.84
6112,D4190 over Mohlaletsi River,Bridge,Bridge,8/31/2021,,,,Sekhukhune,,6/30/2022,79.69,62
6113,D2657 over Koper Spruit,Bridge,Bridge,7/27/2021,,,,Capricorn,,6/30/2022,94.2,96.89
6114,D3332 over Hout river,Bridge,Bridge,8/26/2021,,,,Capricorn,,6/30/2022,95.22,90.41
6115,D999 Over Mphongolo River,Bridge,Bridge Cellular,8/30/2021,,,,Vhembe,,6/30/2022,60.8,11.14
6116,D3653 Over Mphongolo River,Bridge,Bridge Cellular,8/30/2021,,,,Vhembe,,6/30/2022,94.32,95.88
6117,6117 - D3903,Bridge,Bridge Cellular,9/3/2021,,,,,,6/30/2022,88.64,80.74
6118,6118 - D3901 over Moungwane river,Bridge,Bridge Cellular,9/3/2021,,,,Mopani,,6/30/2022,77.27,2.5
6125,D3500 over Pholotsi river,Bridge,Bridge,9/7/2021,,,,Waterberg,,6/30/2022,96.43,88.22
6126,D4380 over Thwathwe river,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,91.48,67.36
